City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Goderich,CA,2022-02-11 07:23:45,43.7501,-81.7165,29.91,74,100,14.97,overcast clouds
121,Magdiwang,PH,2022-02-11 07:20:18,12.491,122.5135,80.22,72,53,11.79,broken clouds
122,Chernyshevskiy,RU,2022-02-11 07:23:46,63.0128,112.4714,-6.43,86,94,5.26,overcast clouds
123,Raudeberg,NO,2022-02-11 07:23:46,61.9875,5.1352,30.87,73,100,1.99,overcast clouds
124,Faya,SA,2022-02-11 07:19:44,18.3851,42.4509,66.31,55,24,5.35,few clouds
125,Beyneu,KZ,2022-02-11 07:23:47,45.3167,55.2,35.51,70,28,18.45,scattered clouds
126,Nome,US,2022-02-11 07:23:47,64.5011,-165.4064,-17.84,78,5,6.42,clear sky
127,Kristiansand,NO,2022-02-11 07:23:48,58.1467,7.9956,33.85,86,0,4.61,clear sky
128,Ilulissat,GL,2022-02-11 07:23:48,69.2167,-51.1,-0.38,65,100,6.91,overcast clouds
129,Maldonado,UY,2022-02-11 07:23:48,-34.6667,-54.9167,67.39,95,0,6.15,clear sky
130,Bambous Virieux,MU,2022-02-11 07:23:49,-20.3428,57.7575,84.45,70,40,9.22,scattered clouds
131,Saurimo,AO,2022-02-11 07:23:49,-9.6608,20.3916,71.92,78,75,0.0,broken clouds
132,Tateyama,JP,2022-02-11 07:23:50,34.9833,139.8667,50.14,52,8,12.48,clear sky
133,Olafsvik,IS,2022-02-11 07:23:50,64.8945,-23.7142,33.85,60,100,3.18,overcast clouds
134,Narsaq,GL,2022-02-11 07:23:50,60.9167,-46.05,19.62,64,100,8.03,overcast clouds
135,Bluff,NZ,2022-02-11 07:23:51,-46.6,168.3333,59.81,79,81,12.01,broken clouds
136,Katsuura,JP,2022-02-11 07:23:51,35.1333,140.3,49.1,52,9,12.95,clear sky
137,Vila Velha,BR,2022-02-11 07:22:50,-20.3297,-40.2925,75.15,91,75,6.91,moderate rain
138,Nowy Dwor Gdanski,PL,2022-02-11 07:24:52,54.2131,19.1177,39.2,88,100,7.76,overcast clouds
139,Kharar,IN,2022-02-11 07:24:52,30.7444,76.6478,71.17,42,0,12.86,clear sky
140,Henties Bay,NA,2022-02-11 07:24:52,-22.116,14.2845,70.72,84,100,2.21,overcast clouds
141,Touros,BR,2022-02-11 07:24:53,-5.1989,-35.4608,76.1,80,57,7.45,broken clouds
142,Ugoofaaru,MV,2022-02-11 07:24:53,5.6667,73.0,81.64,74,100,12.08,overcast clouds
143,Severo-Kurilsk,RU,2022-02-11 07:24:53,50.6789,156.125,26.28,79,98,2.8,overcast clouds
144,Faanui,PF,2022-02-11 07:24:54,-16.4833,-151.75,81.66,73,11,12.88,light rain
145,Portland,US,2022-02-11 07:24:47,45.5234,-122.6762,48.24,90,100,4.0,overcast clouds
146,Praya,CV,2022-02-11 07:24:54,14.9215,-23.5087,75.74,50,0,20.71,clear sky
147,Cherskiy,RU,2022-02-11 07:24:55,68.75,161.3,-32.51,99,95,5.46,overcast clouds
148,Provideniya,RU,2022-02-11 07:24:55,64.3833,-173.3,-18.72,93,15,8.88,few clouds
149,Tatawin,TN,2022-02-11 07:24:55,32.9297,10.4518,47.28,74,100,2.84,overcast clouds
150,Necochea,AR,2022-02-11 07:24:56,-38.5473,-58.7368,62.04,90,100,16.04,moderate rain
151,Lake Havasu City,US,2022-02-11 07:21:52,34.4839,-114.3224,66.81,23,0,11.5,clear sky
152,Castanos,MX,2022-02-11 07:24:56,26.7833,-101.4167,52.34,51,0,3.11,clear sky
153,Zhigansk,RU,2022-02-11 07:24:57,66.7697,123.3711,-20.16,97,100,12.44,overcast clouds
154,Morehead,US,2022-02-11 07:24:57,37.2711,-87.1764,41.31,93,0,0.0,clear sky
155,Westport,US,2022-02-11 07:22:27,41.1415,-73.3579,41.76,71,75,6.91,broken clouds
156,Grand Gaube,MU,2022-02-11 07:24:58,-20.0064,57.6608,84.6,69,10,4.0,clear sky
157,Souillac,MU,2022-02-11 07:24:58,-20.5167,57.5167,84.58,70,40,9.22,scattered clouds
158,Iskateley,RU,2022-02-11 07:24:58,67.6803,53.1512,22.82,92,100,18.19,overcast clouds
159,Kongsberg,NO,2022-02-11 07:24:59,59.6652,9.6465,29.7,80,2,4.83,clear sky
160,Vestmannaeyjar,IS,2022-02-11 07:24:59,63.4427,-20.2734,35.92,62,100,6.22,overcast clouds
161,Eureka,US,2022-02-11 07:21:27,40.8021,-124.1637,51.19,73,0,2.71,clear sky
162,Carballo,ES,2022-02-11 07:25:00,43.213,-8.691,51.87,93,38,3.89,scattered clouds
163,Parrita,CR,2022-02-11 07:25:00,9.5201,-84.3225,80.37,82,8,4.43,clear sky
164,Butaritari,KI,2022-02-11 07:25:01,3.0707,172.7902,82.11,79,21,18.12,light rain
165,Ixtapa,MX,2022-02-11 07:25:01,20.7,-105.2,64.22,79,0,2.77,clear sky
166,Pisco,PE,2022-02-11 07:25:01,-13.7,-76.2167,71.65,73,0,8.05,clear sky
167,Hervey Bay,AU,2022-02-11 07:25:02,-25.2986,152.8535,82.51,61,0,22.19,clear sky
168,Doha,QA,2022-02-11 07:25:02,25.2867,51.5333,73.71,73,0,16.11,clear sky
169,Koforidua,GH,2022-02-11 07:25:03,6.0941,-0.2591,79.29,92,28,2.26,scattered clouds
170,Vaitape,PF,2022-02-11 07:25:03,-16.5167,-151.75,81.61,73,10,12.97,light rain
171,Ambilobe,MG,2022-02-11 07:25:03,-13.2,49.05,79.5,84,100,3.04,light rain
172,Port-Cartier,CA,2022-02-11 07:25:04,50.0334,-66.8654,30.42,84,100,12.17,overcast clouds
173,Taitung,TW,2022-02-11 07:25:04,22.7583,121.1444,77.27,73,75,11.5,broken clouds
174,Lanzhou,CN,2022-02-11 07:25:05,36.0564,103.7922,40.28,76,99,4.34,overcast clouds
175,Beira,MZ,2022-02-11 07:25:05,-19.8436,34.8389,84.29,70,20,5.75,few clouds
176,Lieksa,FI,2022-02-11 07:25:05,63.3167,30.0167,18.73,97,87,9.48,overcast clouds
177,Kjopsvik,NO,2022-02-11 07:22:15,68.097,16.3742,29.17,85,100,7.83,snow
178,Cidreira,BR,2022-02-11 07:25:06,-30.1811,-50.2056,73.56,83,0,18.28,clear sky
179,Komsomolskiy,UZ,2022-02-11 07:25:06,40.4272,71.7189,45.82,45,100,2.3,overcast clouds
180,Zelenogorskiy,RU,2022-02-11 07:25:07,55.0333,87.0,5.52,75,1,1.83,clear sky
181,Bengkulu,ID,2022-02-11 07:25:07,-3.8004,102.2655,84.04,66,100,7.54,overcast clouds
182,Gondar,ET,2022-02-11 07:25:08,12.6,37.4667,70.09,34,13,2.84,few clouds
183,Mahebourg,MU,2022-02-11 07:25:08,-20.4081,57.7,84.49,70,40,9.22,scattered clouds
184,Saint-Pierre,RE,2022-02-11 07:25:08,-21.3393,55.4781,83.84,74,0,9.22,clear sky
185,San Cristobal,VE,2022-02-11 07:25:09,7.7669,-72.225,63.28,93,50,2.66,scattered clouds
186,Zhezkazgan,KZ,2022-02-11 07:26:09,47.8043,67.7144,24.78,80,75,17.9,broken clouds
187,Poum,NC,2022-02-11 07:21:18,-20.2333,164.0167,81.43,84,100,20.11,overcast clouds
188,Nemuro,JP,2022-02-11 07:26:10,43.3236,145.575,23.43,69,100,5.08,overcast clouds
189,Vostok,RU,2022-02-11 07:26:10,46.4856,135.8833,20.7,90,100,2.53,overcast clouds
190,Cartagena Del Chaira,CO,2022-02-11 07:26:10,1.3349,-74.8429,71.87,96,100,1.43,overcast clouds
191,Airai,TL,2022-02-11 07:26:11,-8.9266,125.4092,65.95,91,100,1.34,overcast clouds
192,Upernavik,GL,2022-02-11 07:26:11,72.7868,-56.1549,-21.32,85,83,7.25,broken clouds
193,Mariental,NA,2022-02-11 07:26:12,-24.6333,17.9667,78.84,47,81,3.2,broken clouds
194,Saint-Joseph,RE,2022-02-11 07:26:12,-21.3667,55.6167,82.76,75,57,8.25,broken clouds
